Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R4,2576,3622,3625,8.195609567
CM25,0,T0,R4,1521,2177,2547,7.842671475
CM25,0,T0,R4,2560,3427,1589,7.370860167
CM25,0,T0,R4,2354,3330,1234,7.118016204
CM25,0,T0,R5,2298,3504,434,6.073044534
CM25,0,T0,R2,2217,3420,702,6.553933404
CM25,0,T0,R5,2070,3029,399,5.988961417
CM25,0,T0,R2,2638,3054,1245,7.126890809
CM25,0,T0,R2,2011,2784,729,6.591673732
CM25,0,T0,R4,2285,3169,2102,7.650644551
CM25,0,T0,R4,2110,2329,2517,7.830822995
CM25,0,T0,R5,3357,3860,308,5.730099783
CM25,0,T0,R4,2379,3174,3597,8.187855444
CM25,0,T0,R4,2397,2532,1425,7.261927093
CM25,0,T0,R4,2258,2279,2673,7.890956716
CM25,0,T0,R2,1951,2799,864,6.761572769
CM25,0,T0,R3,2593,2934,44.8,3.802208139
CM25,0,T0,R4,2749,3246,4594,8.432506383
CM25,0,T0,R2,1528,2125,678,6.519147288
CM25,0,T0,R4,2584,3187,3518,8.165647925
CM25,0,T0,R4,1893,2357,1748,7.466227556
CM25,0,T0,R2,2379,3217,879,6.778784898
CM25,0,T0,R5,2401,3126,471,6.154858094
CM25,0,T0,R5,2503,3085,95.5,4.559126247
CM25,0,T0,R4,2107,2751,2483,7.817222786
CM25,0,T0,R5,2328,3146,231,5.442417711
CM25,0,T0,R2,1709,2691,676,6.516193076
CM25,0,T0,R2,2211,2594,596,6.390240667
CM25,0,T0,R2,2752,2781,925,6.829793738
CM25,0,T0,R5,2254,3074,263,5.572154032
CM25,0,T0,R4,2515,3311,2481,7.816416984
CM25,0,T0,R2,2581,3224,694,6.542471961
CM25,0,T0,R5,1656,2304,297,5.693732139
CM25,0,T0,R4,2190,3242,2136,7.6666902
CM25,0,T0,R4,2443,3637,2440,7.799753318
CM25,0,T0,R4,1763,1979,1806,7.498869734
CM25,0,T0,R5,2556,2844,353,5.866468057
CM25,0,T0,R2,2383,2493,655,6.484635236
CM25,0,T0,R4,2845,3775,4625,8.43923165
CM25,0,T0,R5,2404,3460,454,6.118097198
CM25,0,T0,R5,1882,2478,103,4.634728988
CM25,0,T0,R4,2413,2305,3344,8.114922974
CM25,0,T0,R4,2066,2502,3220,8.077136639
CM25,0,T0,R4,2588,3307,3225,8.078688229
CM25,0,T0,R5,2692,3354,534,6.280395839
CM25,0,T0,R2,2814,4397,947,6.853299093
CM25,0,T0,R4,2055,2368,2163,7.679251426
CM25,0,T0,R2,2124,2364,780,6.65929392
CM25,0,T0,R4,2124,2448,1331,7.193685818
CM25,0,T0,R5,1809,2237,105,4.65396035
CM25,0,T0,R2,2780,3069,639,6.459904454
CM25,0,T0,R2,1945,2266,911,6.814542897
CM25,0,T0,R4,2610,3373,3701,8.216358332
CM25,0,T0,R5,2836,3654,230,5.438079309
CM25,0,T0,R2,1891,2557,548,6.306275287
CM25,0,T0,R4,1892,2695,1850,7.522940918
CM25,0,T0,R5,2151,2709,438,6.08221891
CM25,0,T0,R4,2533,3927,1434,7.268223021
CM25,0,T0,R5,2572,3070,339,5.826000107
CM25,0,T0,R4,1707,2455,2662,7.886832999
CM25,0,T0,R2,2569,3691,589,6.378426184
CM25,0,T0,R5,2260,2839,151,5.017279837
CM25,0,T0,R4,2152,2933,1570,7.358830898
CM25,0,T0,R5,2229,2764,387,5.958424693
CM25,0,T0,R4,2164,3483,2714,7.90617884
CM25,0,T0,R2,1918,2390,886,6.786716951
CM25,0,T0,R4,2693,3496,3063,8.027150107
